Uni
"Isabella Thoburn College, Professional Studies"
"Institute of Professional Excellence and Management, Ghaziabad"
"Shri Ram Murti Smarak International Business School, Unnao"
"Institute of Techology and Science, Ghaziabad"
"Institute of Management Studies, Noida,  UP"
"JMS Group of Institutions, Hapur"
"Sri Sharda Institute of Management and Technology, Lucknow"
"Jaipuria Institute of Management, Noida"
Northern Institute for Integrated Learning in Management(NIILM)
C-MAT Business School
"College of Management Studies IILM, Academy Of Higher Learning"
"Dr. Gaur Singhania Institute of Management and Research, Kanpur"
IILM Academy of Higher Learning Lucknow
IILM Graduate School of Management
Institute of Management Technology Ghaziabad
"Institute of Management Research and Technology, (IMRT), Lucknow"
"Institute of Management Studies, Ghaziabad"
"Institute of Productivity & Management,Meerut"
Institute of Productivity and Management Ghaziabad
"Jaipuria School of Business, Gaziabad"
Jaipuria Institute of Management - Lucknow
"Asian Business Schooln,Noida"
"Christ Institute of Management, Ghaziabad"
Jagran Institute of Management
Future Institute Of Management & Technology
"Bhagwati Institute of Technology & Science, Ghaziabad"
"NTPC School of Business, Noida"
"Central Institute of Management & Technology, Lucknow"
Noida Institute Of Engineering And Technology (Mca Institute)
"Bhalchandra Institute of Education And Management,Lucknow"
Harlal Institute Of Management & Technology
Uttam Institute of Management studies Agra
Institute of Management Education & Consultancy
Doon Business School
Calcutta Business School
Indian Institute of Social Weflfare & Business Management
Globsyn Business School
Praxis Business School
IMS Business School
Institute of Engineering & Management
Management Development Institute Murshidabad
"Indira Gandhi Technological and Medical Sciences University, Ziro"
Apex Professional University
Arunachal University of Studies
"Dr. C. V. Raman University, Kota Bilaspur"
"MATS University, Raipur"
ISBM University
Ansal University
"Lakulish Yoga University, Ahmedabad"
"Maharishi Mahesh Yogi Vedic Vishwavidyalaya, Jabalpur"
"Atmiya University, Rajkot"
"Swarnim Startup & Innovation University, Gandhinagar"
"Nirma University, Ahmedabad"
"Charotar University of Science & Technology,  Anand"
Indus University
"R. K. University, Rajkot"
"C.U. Shah University, Surendranagar"
"Team Lease Skills University Vadodara, Gujarat"
Anant National University
Karnavati University
Marwadi University
Amity University Haryana
"Apeejay Stya University, Gurgaon"
"Jagan Nath Univerity, Haryana"
"M V N University, Palwal"
"SRM University, Delhi-NCR,Sonepat"
World University of Design
IILM University
"Career Point University, Hamirpur"
Arni University
"Abhilashi University, Mandi"
"Eternal University, Baru Sahib Sirmour"
Baddi University of Emerging Sciences & Technology
"Chitkara University, Himachal Pradesh"
"Jaypee University of Information Technology, Solan"
"Maharishi Markendehwar University, Solan"
"Shoolini University of Bio Technology and Management Sciences, Oachghat, Solan"
"Indus International University, Bathu, Una"
"Jaypee University, Anoopshahr"
Sarala Birla University
Jharkhand Rai University
Arka Jain University
"Srinivas University, Mangaluru"
Alliance University. Bangalore
"PES University, Bangalore"
Garden City University
KLE Technological University
Sharnbasva University
"Sarvepalli Radhakrishan University, Bhopal"
"Oriental University, Indore"
"Dr. A.P.J. Abdul Kalam University, Indore"
Malwanchal University
"Bhabha University, Bhopal"
Madhyanchal Professional University
"Jagran Lakecity University, Bhopal"
Peoples University
RKDF University
"Jaypee University of Engineering and Technology, Guna"
"Amity University, Gwalior"
Shri Vaishnav Vidyapeeth Vishwavidyalaya
"Dr Vishwanath Karad MIT World Peace University, Pune"
Manipur International University
University of Science and Technology
"The Global Open University Nagaland, Dimapur"
"Xavier University, Bhubaneswar"
Centurion University of Technology and Management
Birla Global University
Adesh University
DAV University
GNA University
"Chitkara University, Punjab"
Chandigarh University
C.T. University
RIMT University
"Jayoti Vidyapeeth Women's University, Jaipur"
"Bikaner Technical University, Bikaner"
"Sangam University, Bhilwara"
"Amity University, Jaipur"
JECRC University
J. K. Lakshmipat University
University of Engineering and Management
"Shri Jagdish Prasad Jhabarmal Tibrewala University, Jhunjhunu"
"Singhania University, Jhunjhunu"
Geetanjali University
"Sir Padampat Singhania University, Udaipur"
"R.N.B. Global University,Bikaner"
Bhartiya Skill Development University
"Sikkim Manipal University, Gangtok"
Ashoka University
"Mangalayatan University, Aligarh"
"J.S. University, Shikohabad"
Galgotias University
Noida International University
"Sharda University, Gautam Budh Nagar"
"Sri Venkateshwara University, Gajraula, J.P Nagar"
"Integral University, Lucknow"
"Mohammad Ali Jauhar University, Rampur"
"Shobhit University, Gangoh"
"Bennett University, Noida"
Era University
IMS Unison University
"University of Patanjali, Haridwar"
"Dehradun Institute of Technology University, Dehradun"
"Himgiri Zee University, Dehradun"
"The ICFAI University, Dehradun"
"Bhagwant Global University, Kotdwar"
"Amity University, Kolkata"
St. Xavier's University
The Neotia University
Seacom Skills University
"St. Xavier's Technical Institute, Mumbai"
"Government Polytechnic, Nashik"
"Government Polytechnic, Kolhapur"
"Jawaharlal Nehru Technological University, Anantapur"
"Sri Padmavathi Mahila Visva Vidyalayam, Tirupathi"
"Sri Venkateswara Institute of Medical Sciences, Tirupathi"
"Sri Venkateswara University, Tirupathy"
"Sri Venkateswara Veterinary University, Tirupathi"
"Jawaharlal Nehru Technological University, Kakinada"
Acharya Nagarjuna University
Krishna University
Rayalaseema University: Kurnool
"Andhra University, Visakhapatnam"
"Yogi Vemana University, Kadapa"
"Assam Agricultural University, Jorhat"
Assam Women's University
"Gauhati University, Guwahati"
"Krishna Kanta Hanidiqui State Open University, Guwahati"
Assam Science and Technology University
National Law University and Judicial Academy
Bodoland University
"Srimanta Sankaradeva University of Health Sciences, Guwahati"
Dr. Rajendra Prasad Central Agricultural University
T.M.Bhagalpur University
"Veer Kunwar Singh University, Arrah"
"Lalit Narayan Mithila University, Darbhanga"
"Bhupendra Narayan Mandal University, Madhepura"
"Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur"
Chanakya National Law University
"Maulana Mazharul Haque Arabic & Persian University, Patna"
"Nalanda Open University, Patna"
"Patna University, Patna"
"Panjab University,Chandigarh"
Bilaspur Vishwavidyala
Pt. Sundarlal Sharma (Open) University
Chhattisgarh Kamdhenu Vishwavidalaya
"Ayush and Health Science University of Chattisgarh, Raipur (Pt. Deendayal Upadhyay Memorial health science and ayush University of chattisgarh)"
"Hidayatullah National Law University, Raipur"
"Indira Gandhi Krishi Vishwavidyalaya, Raipur"
"Kushabhau Thakre Patrakarita Avam Jansanchar Vishwavidyalaya, Raipur"
"Pt. Ravishankar Shukla University, Raipur"
"Indira Kala Sangit Vishwavidyalaya, Khairagarh"
"Sarguja University, Ambikapur"
"Indraprastha Institute of Information Technology, Delhi"
Delhi Pharmaceutical Sciences And Research University
"Goa University, Goa"
"Sardarkrushinagar Dantiwada Agricultural University, Banaskantha"
Swarnim Gujarat Sports University
"Bhakta Kavi Narsinh Mehta University, Junagadh"
Junagadh Agricultural University
"Gujarat University, Ahmedabad"
Institute of Infrastructure Technology Research and Management
"Rakshashakti University, Gujarat"
"Anand Agricultural University, Anand"
"Sardar Patel University, Vallabh Vidyanagar"
Maharaja Krishnakumarsinhji Bhavnagar University
"Indian Institute of Teacher Education, Gandhinagar"
"Kamdhenu University, Gandhinagar"
"Krantiguru Shyamji Krishna Verma Kachchh University, Kachchh"
Navsari Agricultural University
"Saurashtra University, Rajkot"
"Chaudhary Ranbir Singh University, Jind"
"Ch. Devi Lal University, Sirsa"
"Kurukshetra University, Kurukshetra"
"Indira Gandhi University, Meerpur"
"Maharshi Dayanand University, Rohtak"
Deenbandhu Chhotu Ram University of Science and Technology
"Himachal Pradesh Technical University, Hamirpur"
"Chaudhary Sarwan Kumar Himachal Pardesh Krishi Vishvavidyalaya, Palampur"
"Dr. Y.S. Parmar University of Horticulture and Forestry, Solan"
"Sher-e-Kashmir University of Agricultural Science & Technology, Jammu"
"Islamic University of Science & Technology, Pulwama"
"Baba Ghulam Shah Badshah University,  Jammu"
Cluster University of Jammu
"Cluster University, Srinagar"
"Sido Kanhu Murmu University, Dumka"
"Nilamber-Pitamber University, Palamu"
"Kolhan University,  West Singhbhum"
"Birsa Agricultural University, Ranchi"
"National University of Study & Research in Law, Ranchi"
"Ranchi University, Ranchi"
"Jharkhand Raksha Shakti University, Ranchi"
Bangalore University
"Rani Channamma University, Belagavi"
"Kannada University, Hampi, Kamalapura"
"Mangalore University, Mangalore"
"Karnatak University, Dharwad"
"University  of Agricultural Sciences, Dharwad"
"Gulbarga University, Gulbarga"
"Karnataka State Open University, Mysore"
University of Mysore
"University  of Agricultural Sciences, Raichur"
"Tumkur University, Tumkur"
Bangalore Central University
"National University of Advanced Legal Studies, Kochi"
University of Calicut
"Cochin University of Science & Technology, Kochi"
"Kerala University of Fisheries & Ocean Studies, Kochi"
"Shree Sankaracharya Univeristy of Sanskrit, Kalady"
"Kannur University, Kannur"
"Mahatma Gandhi University, Kottayam"
A P J Abdul Kalam Technological University
"University of Kerala, Thiruvananthapuram"
Devi Ahilya Vishwavidyalaya
"Awadhesh Pratap Singh University, Rewa"
"Sanchi University of Buddhist-Indic Studies, Bhopal"
"Makhanlal Chaturvedi National University of Journalism and Communication, Bhopal"
"Raja Mansingh  Tomar Music & Arts University, Gwalior"
"Nanaji Deshmukh Pashu Chikitsa Vigyan Vishwavidalaya, Jabalpur"
"Mahatama Gandhi Gramodaya Vishwavidyalaya, Chitrakoot, Satna"
Dr. B.R. Ambedkar University of Social Sciences
"Dr. Babasaheb Ambedkar Marathwada University, Aurangabad"
"North Maharashtra University, Jalgaon"
University Of Mumbai
Rashtrasant Tukadoji Maharaj Nagpur University
Yashwant Rao Chavan Maharashtra Open University
Odisha State Open University
"National Law University, Cuttuck"
"Berhampur University, Berhampur"
"Orissa University of Agriculture &  Technology, Bhubaneswar"
"Utkal University, Bhubaneswar"
Rama Devi Women's University
"Guru Nanak Dev University, Amritsar"
"Maharaja Ganga Singh University, Bikaner"
"Maharana Pratap University of Agriculture & Technology, Udaipur"
Govind Guru Tribal University
"Maharishi Dayanand Saraswati University, Ajmer"
"Rajasthan University, Jaipur"
"Dr. Sarvepalli Radhakrishnan Rajasthan Ayurved University, Jodhpur"
"Jai Narain Vyas University, Jodhpur"
"University of Kota, Kota"
"Vardhman Mahaveer Open University, Kota"
"Mohan Lal Sukhadia University, Uaipur"
Sikkim State University
Anna University
"University of Madras,  Chennai"
"Tamil Nadu Dr. M.G.R. Medical University , Chennai"
"Tamil Nadu Open University, Chennai"
"Tamil Nadu Teacher Education University, Chennai"
"Bharathiar University, Coimbatore"
"Annamalai University, Annamalainagar"
"Mother Teresa Women's University, Kodaikanal"
"Tamilnadu Physical Education and Sports University, Chennai"
Periyar University
Alagappa University
"Bharathidasan University, Tiruchirappalli"
"Manonmaniam Sundaranar University, Tirunelveli"
"Thiruvalluvar Univeristy, Vellore"
"Jawaharlal Nehru Technological University, Hyderabad"
P.V. Narsimha Rao Telangana Veterinary University
"Osmania University, Hyderabad"
"Mahatma Gandhi University, Nalgonda"
"Kakatiya University, Warangal"
"Telangana University, Nizamabad"
Maharaja Bir Bikram University
Gautam Buddha University
Madan Mohan Malaviya University of Technology
"Bundelkhand University, Jhansi"
"Chatrapati Sahuji Maharaj Kanpur University, Kanpur"
"Lucknow University, Lucknow"
Dr. A.P.J. Abdul Kalam Technical University
"Dr Shakuntala Misra National Rehabilitation University, Lucknow"
"UP Pandit Deen Dayal Upadhyaya Veterinary University & Gau-Anusandhan Sansthan, Mathura"
"Sardar Vallabh Bhai Patel University of Agriculture & Technology, Meerut"
"Presidency University, Kolkata"
"The West Bengal University of Health Sciences, Kolkata"
"Burdwan University, Burdwan"
Cooch Behar Panchanan Barma University
"Uttar Banga Krishi Vishwavidyalaya, Cooch Behar"
"Netaji Subhash Open University, Kolkata"
"Rabindra Bharati University, Kolkata"
"Bidhan Chandra Krishi Vishwavidyalaya , Nadia"
"Kalyani University, Kalyani"
"Maulana Abul Kalam Azad University of Technology, West Bengal"
"Vidyasagar University, Midnapore"
Sidho-Kanho-Birsha University
Diamond Harbour Women's University
The Sanskrit College and University
M.P. Bhoj (Open) University
Dhanamanjuri University
